algorithm,instance_class,seed,num_jobs,num_machines,num_ops,valid,runtime_ms,population_size,generations,crossover_probability,mutation_probability,best_makespan,lower_bound,gap_pct,avg_utilization,min_utilization,max_utilization,critical_job
Greedy ECT,machine_advantage,4,10,6,51,True,0.285,,0,,,78,55,41.818,0.7714,0.6026,0.9103,3
GA,machine_advantage,4,10,6,51,True,193.664,40,80,0.85,0.15,78,55,41.818,0.7714,0.6026,0.9103,3
SLGA,machine_advantage,4,10,6,51,True,202.756,40,80,,,78,55,41.818,0.7714,0.6026,0.9103,3
Greedy ECT,machine_advantage,5,10,6,52,True,0.292,,0,,,113,64,76.562,0.587,0.3894,0.8142,5
GA,machine_advantage,5,10,6,52,True,218.693,40,80,0.85,0.15,113,64,76.562,0.587,0.3894,0.8142,5
SLGA,machine_advantage,5,10,6,52,True,214.328,40,80,,,113,64,76.562,0.587,0.3894,0.8142,5
Greedy ECT,hard,1,10,6,41,True,0.277,,0,,,153,104,47.115,0.6471,0.4248,0.9346,2
GA,hard,1,10,6,41,True,166.886,40,80,0.85,0.15,153,104,47.115,0.6471,0.4248,0.9346,2
SLGA,hard,1,10,6,41,True,165.404,40,80,,,153,104,47.115,0.6471,0.4248,0.9346,2
Greedy ECT,hard,2,10,6,38,True,0.263,,0,,,150,99,51.515,0.7,0.5867,0.9133,8
GA,hard,2,10,6,38,True,151.866,40,80,0.85,0.15,150,99,51.515,0.7,0.5867,0.9133,8
SLGA,hard,2,10,6,38,True,167.184,40,80,,,149,99,50.505,0.7271,0.5906,0.8591,8
Greedy ECT,hard,3,10,6,42,True,0.282,,0,,,148,95,55.789,0.6847,0.5946,0.7838,7
GA,hard,3,10,6,42,True,160.695,40,80,0.85,0.15,148,95,55.789,0.6847,0.5946,0.7838,7
SLGA,hard,3,10,6,42,True,185.669,40,80,,,148,95,55.789,0.6847,0.5946,0.7838,7
Greedy ECT,hard,4,10,6,45,True,0.295,,0,,,196,111,76.577,0.631,0.5306,0.7959,3
GA,hard,4,10,6,45,True,186.094,40,80,0.85,0.15,196,111,76.577,0.631,0.5306,0.7959,3
SLGA,hard,4,10,6,45,True,189.905,40,80,,,196,111,76.577,0.631,0.5306,0.7959,3
Greedy ECT,hard,5,10,6,45,True,0.322,,0,,,143,96,48.958,0.7296,0.6573,0.8182,5
