algorithm,instance_class,seed,generation,best_makespan
GA,low_flexibility,1,58,122
GA,low_flexibility,1,59,122
GA,low_flexibility,1,60,122
GA,low_flexibility,1,61,122
GA,low_flexibility,1,62,122
GA,low_flexibility,1,63,122
GA,low_flexibility,1,64,122
GA,low_flexibility,1,65,122
GA,low_flexibility,1,66,122
GA,low_flexibility,1,67,122
GA,low_flexibility,1,68,122
GA,low_flexibility,1,69,122
GA,low_flexibility,1,70,122
GA,low_flexibility,1,71,122
GA,low_flexibility,1,72,122
GA,low_flexibility,1,73,122
GA,low_flexibility,1,74,122
GA,low_flexibility,1,75,122
GA,low_flexibility,1,76,122
GA,low_flexibility,1,77,122
GA,low_flexibility,1,78,122
GA,low_flexibility,1,79,122
GA,low_flexibility,1,80,122
SLGA,low_flexibility,1,0,141
SLGA,low_flexibility,1,1,140
SLGA,low_flexibility,1,2,140
SLGA,low_flexibility,1,3,140
SLGA,low_flexibility,1,4,140
SLGA,low_flexibility,1,5,138
SLGA,low_flexibility,1,6,132
SLGA,low_flexibility,1,7,132
SLGA,low_flexibility,1,8,132
SLGA,low_flexibility,1,9,132
SLGA,low_flexibility,1,10,132
SLGA,low_flexibility,1,11,132
SLGA,low_flexibility,1,12,132
SLGA,low_flexibility,1,13,132
SLGA,low_flexibility,1,14,129
SLGA,low_flexibility,1,15,129
SLGA,low_flexibility,1,16,129
SLGA,low_flexibility,1,17,129
SLGA,low_flexibility,1,18,129
SLGA,low_flexibility,1,19,129
SLGA,low_flexibility,1,20,129
SLGA,low_flexibility,1,21,129
SLGA,low_flexibility,1,22,129
SLGA,low_flexibility,1,23,129
SLGA,low_flexibility,1,24,129
SLGA,low_flexibility,1,25,129
SLGA,low_flexibility,1,26,129
SLGA,low_flexibility,1,27,129
SLGA,low_flexibility,1,28,129
SLGA,low_flexibility,1,29,129
SLGA,low_flexibility,1,30,129
SLGA,low_flexibility,1,31,129
SLGA,low_flexibility,1,32,129
SLGA,low_flexibility,1,33,129
SLGA,low_flexibility,1,34,129
SLGA,low_flexibility,1,35,125
SLGA,low_flexibility,1,36,125
SLGA,low_flexibility,1,37,125
SLGA,low_flexibility,1,38,125
SLGA,low_flexibility,1,39,125
SLGA,low_flexibility,1,40,125
SLGA,low_flexibility,1,41,125
SLGA,low_flexibility,1,42,125
SLGA,low_flexibility,1,43,125
SLGA,low_flexibility,1,44,125
SLGA,low_flexibility,1,45,125
SLGA,low_flexibility,1,46,125
SLGA,low_flexibility,1,47,125
SLGA,low_flexibility,1,48,125
SLGA,low_flexibility,1,49,125
SLGA,low_flexibility,1,50,125
SLGA,low_flexibility,1,51,125
SLGA,low_flexibility,1,52,125
SLGA,low_flexibility,1,53,125
SLGA,low_flexibility,1,54,125
SLGA,low_flexibility,1,55,125
SLGA,low_flexibility,1,56,125
SLGA,low_flexibility,1,57,125
SLGA,low_flexibility,1,58,125
SLGA,low_flexibility,1,59,125
SLGA,low_flexibility,1,60,125
SLGA,low_flexibility,1,61,125
SLGA,low_flexibility,1,62,125
SLGA,low_flexibility,1,63,125
SLGA,low_flexibility,1,64,125
SLGA,low_flexibility,1,65,125
SLGA,low_flexibility,1,66,125
SLGA,low_flexibility,1,67,125
SLGA,low_flexibility,1,68,125
SLGA,low_flexibility,1,69,125
SLGA,low_flexibility,1,70,125
SLGA,low_flexibility,1,71,125
SLGA,low_flexibility,1,72,125
SLGA,low_flexibility,1,73,125
SLGA,low_flexibility,1,74,125
SLGA,low_flexibility,1,75,125
SLGA,low_flexibility,1,76,125
SLGA,low_flexibility,1,77,125
SLGA,low_flexibility,1,78,125
SLGA,low_flexibility,1,79,125
SLGA,low_flexibility,1,80,125
GA,low_flexibility,2,0,142
GA,low_flexibility,2,1,142
GA,low_flexibility,2,2,142
GA,low_flexibility,2,3,142
GA,low_flexibility,2,4,142
GA,low_flexibility,2,5,142
GA,low_flexibility,2,6,142
GA,low_flexibility,2,7,142
GA,low_flexibility,2,8,142
GA,low_flexibility,2,9,142
GA,low_flexibility,2,10,142
GA,low_flexibility,2,11,142
GA,low_flexibility,2,12,142
GA,low_flexibility,2,13,142
GA,low_flexibility,2,14,142
GA,low_flexibility,2,15,142
GA,low_flexibility,2,16,142
GA,low_flexibility,2,17,142
GA,low_flexibility,2,18,142
GA,low_flexibility,2,19,142
GA,low_flexibility,2,20,142
GA,low_flexibility,2,21,142
GA,low_flexibility,2,22,142
GA,low_flexibility,2,23,142
GA,low_flexibility,2,24,142
GA,low_flexibility,2,25,142
GA,low_flexibility,2,26,142
GA,low_flexibility,2,27,142
GA,low_flexibility,2,28,142
GA,low_flexibility,2,29,142
GA,low_flexibility,2,30,142
GA,low_flexibility,2,31,142
GA,low_flexibility,2,32,142
GA,low_flexibility,2,33,142
GA,low_flexibility,2,34,142
GA,low_flexibility,2,35,142
GA,low_flexibility,2,36,142
GA,low_flexibility,2,37,142
GA,low_flexibility,2,38,142
GA,low_flexibility,2,39,142
GA,low_flexibility,2,40,142
GA,low_flexibility,2,41,142
GA,low_flexibility,2,42,142
GA,low_flexibility,2,43,142
GA,low_flexibility,2,44,142
GA,low_flexibility,2,45,142
GA,low_flexibility,2,46,142
GA,low_flexibility,2,47,142
GA,low_flexibility,2,48,142
GA,low_flexibility,2,49,142
GA,low_flexibility,2,50,142
GA,low_flexibility,2,51,142
GA,low_flexibility,2,52,142
GA,low_flexibility,2,53,142
GA,low_flexibility,2,54,142
GA,low_flexibility,2,55,142
GA,low_flexibility,2,56,142
GA,low_flexibility,2,57,142
GA,low_flexibility,2,58,142
GA,low_flexibility,2,59,142
GA,low_flexibility,2,60,142
GA,low_flexibility,2,61,142
GA,low_flexibility,2,62,142
GA,low_flexibility,2,63,142
GA,low_flexibility,2,64,142
GA,low_flexibility,2,65,142
GA,low_flexibility,2,66,142
GA,low_flexibility,2,67,142
GA,low_flexibility,2,68,142
GA,low_flexibility,2,69,142
GA,low_flexibility,2,70,142
GA,low_flexibility,2,71,142
GA,low_flexibility,2,72,142
GA,low_flexibility,2,73,142
GA,low_flexibility,2,74,142
GA,low_flexibility,2,75,142
GA,low_flexibility,2,76,142
GA,low_flexibility,2,77,142
GA,low_flexibility,2,78,142
GA,low_flexibility,2,79,142
GA,low_flexibility,2,80,142
SLGA,low_flexibility,2,0,142
SLGA,low_flexibility,2,1,142
SLGA,low_flexibility,2,2,142
SLGA,low_flexibility,2,3,142
SLGA,low_flexibility,2,4,142
SLGA,low_flexibility,2,5,142
SLGA,low_flexibility,2,6,142
